SubjectTag	SubjectID	SAMPLE_RACE	SAMPLE_SEX	ASVAB-8
28600	286	1	2	43
28700	287	3	2	55
28800	288	3	2	46
28900	289	3	2	59
29000	290	1	2	45
29100	291	2	1	33
29200	292	3	2	58
29300	293	3	2	51
29400	294	3	2	45
29500	295	3	1	37
29600	296	3	1	31
29700	297	3	2	58
29800	298	1	2	35
29900	299	1	1	27
30000	300	1	1	33
30100	301	1	1	44
30200	302	1	1	9
30300	303	1	1	20
30400	304	1	1	20
30500	305	1	2	56
30600	306	2	1	56
30700	307	3	2	64
30800	308	3	1	34
30900	309	3	1	37
31000	310	3	1	32
31100	311	3	1	10
31200	312	3	2	35
31300	313	3	1	44
31400	314	3	2	-4
31500	315	3	1	6
31600	316	3	1	36
31700	317	3	1	52
31800	318	3	1	43
31900	319	3	2	66
32000	320	3	1	27
32100	321	3	2	33
32200	322	3	2	45
32300	323	3	1	43
32400	324	3	1	30
32500	325	3	1	59
32600	326	3	2	-4
32700	327	3	2	64
32800	328	1	1	-4
32900	329	1	1	9
33000	330	1	1	36
33100	331	1	1	38
33200	332	1	1	48
33300	333	2	2	63
33400	334	2	1	24
33500	335	2	2	36
33600	336	2	1	27
33700	337	2	1	38
33800	338	2	2	27
33900	339	2	2	20
34000	340	2	2	54
34100	341	3	2	54
34200	342	3	1	58
34300	343	2	2	43
34400	344	3	2	30
34500	345	2	2	47
34600	346	3	1	47
34700	347	3	2	61
34800	348	3	1	48
34900	349	3	1	37
35000	350	3	1	41
35100	351	3	1	17
35200	352	3	2	72
35300	353	3	1	24
35400	354	3	2	60
35500	355	3	1	47
35600	356	3	1	49
35700	357	3	1	45
35800	358	3	1	37
35900	359	3	2	54
36000	360	3	2	62
36100	361	3	1	65
36200	362	3	1	39
36300	363	3	2	28
36400	364	3	1	58
36500	365	3	2	50
36600	366	3	1	47
36700	367	3	2	30
36800	368	2	2	51
36900	369	3	2	39
37000	370	3	2	50
37100	371	3	2	36
37200	372	3	1	44
37300	373	3	2	52
37400	374	3	2	56
37500	375	3	1	21
37600	376	3	1	33
37700	377	2	1	15
37800	378	2	1	14
37900	379	2	2	6
38000	380	2	1	17
38100	381	2	1	63
38200	382	2	2	33
38300	383	2	1	33
38400	384	2	1	49
38500	385	2	2	45
38600	386	2	2	51
38700	387	2	1	9
38800	388	2	2	47
38900	389	3	2	-4
39000	390	2	2	35
39100	391	2	2	48
39200	392	3	1	55
39300	393	3	1	47
39400	394	2	1	13
39500	395	2	2	13
39600	396	2	1	36
39700	397	2	2	19
39800	398	2	1	21
39900	399	3	2	55
40000	400	3	2	75
40100	401	3	2	40
40200	402	3	2	65
40300	403	3	1	30
40400	404	3	1	32
40500	405	3	2	53
40600	406	3	1	37
40700	407	3	2	66
40800	408	3	1	49
40900	409	3	1	39
41000	410	3	1	48
41100	411	3	1	31
41200	412	3	1	38
41300	413	3	1	49
41400	414	3	2	60
41500	415	3	1	36
41600	416	3	2	62
41700	417	3	1	37
41800	418	3	2	52
41900	419	3	1	31
42000	420	3	1	45
42100	421	3	1	69
42200	422	3	1	67
42300	423	3	2	-4
42400	424	3	1	63
42500	425	3	2	52
42600	426	1	1	70
42700	427	3	2	-4
42800	428	3	2	63
42900	429	3	1	59
43000	430	3	1	-4
43100	431	3	2	52
43200	432	3	1	20
43300	433	3	1	22
43400	434	3	1	51
43500	435	3	1	37
43600	436	3	2	62
43700	437	3	2	53
43800	438	3	2	53
43900	439	3	2	72
44000	440	3	1	58
44100	441	3	1	11
44200	442	3	2	37
44300	443	3	1	36
44400	444	3	2	58
44500	445	3	1	56
44600	446	3	2	35
44700	447	3	1	31
44800	448	3	1	11
44900	449	3	2	48
45000	450	3	1	44
45100	451	3	1	27
45200	452	3	2	66
45300	453	3	1	45
45400	454	3	2	52
45500	455	3	2	63
45600	456	3	1	49
45700	457	3	1	39
